short_name,id,conversation,flow_id,timestamp,content,answer_type,failed,author,embeddings
demo,1,1,F1660023803368DW1RZA,2024-09-26T03:34:58.517000Z,What is an academic advisor?,,False,USER,[]
demo,2,1,F1660023803369XU3ONH,2024-09-26T03:34:58.518000Z,"An academic advisor is a professional at Pathify University who helps students make important decisions about their education. They can assist with:  * Choosing classes * Selecting a major * Staying on track for graduation * Understanding registration processes * Learning about financial aid * Exploring career options  Academic advisors provide guidance and support throughout your time at Pathify University, helping you achieve your academic goals.",SOURCED,False,CHATBOT,[]
demo,3,1,F16600238048683PJSHQ,2024-09-26T03:35:23.358000Z,Who is my academic advisor?,,False,USER,[]
demo,4,1,F1660023804869M3GIVT,2024-09-26T03:35:23.359000Z,backend call: Academic Advisor,VERIFIED,False,CHATBOT,[]
demo,5,1,F1494867803718MA4E4R,2024-09-26T03:35:35.754000Z,What is cheese?,,False,USER,[]
demo,6,1,F1494867803719SOKSGZ,2024-09-26T03:35:35.755000Z,"Cheese is a food made from the milk of mammals, typically cow's milk. It's produced by curdling milk with rennet or acidic cultures, then separating the solids from the liquid (whey). The solids are then pressed and aged, which gives cheese its unique flavor and texture.   At Pathify University, we love cheese! There are so many different types, from creamy brie to sharp cheddar. We even have a whole course dedicated to cheese appreciation!",SOURCED,False,CHATBOT,[]
demo,17,1,F1660025732366SAPYCG,2024-09-26T03:34:58.517000Z,What is an academic advisor?,,False,USER,[]
demo,18,1,F16600257323670WQBV0,2024-09-26T03:34:59.517000Z,"An academic advisor is a professional at Pathify University who helps students make important decisions about their education. They can assist with:  * Choosing classes * Selecting a major * Staying on track for graduation * Understanding registration processes * Learning about financial aid * Exploring career options  Academic advisors provide guidance and support throughout your time at Pathify University, helping you achieve your academic goals.",SOURCED,False,CHATBOT,[]
demo,19,1,F16600257324880ARNUF,2024-09-26T03:35:35.754000Z,What is cheese?,,False,USER,[]
demo,20,1,F1660025732489ISAP0F,2024-09-26T03:35:36.754000Z,"Cheese is a food made from the milk of mammals, typically cow's milk. It's produced by curdling milk with rennet or acidic cultures, then separating the solids from the liquid (whey). The solids are then pressed and aged, which gives cheese its unique flavor and texture.   At Pathify University, we love cheese! There are so many different types, from creamy brie to sharp cheddar. We even have a whole course dedicated to cheese appreciation!",SOURCED,False,CHATBOT,[]
demo,21,1,F1526505468022XG4H1U,2024-09-26T03:35:23.358000Z,Who is my academic advisor?,,False,USER,[]
demo,22,1,F1526505468023JA2MID,2024-09-26T03:35:24.358000Z,backend call: Academic Advisor,VERIFIED,False,CHATBOT,[]
demo,7,2,F16600257290905AC2W4,2024-10-03T07:51:59.284000Z,x^x = 25. Solve for x using the lambert w function,,False,USER,[]
demo,8,2,F1526505467164F1MDW2,2024-10-03T07:52:22.882000Z,How many of the letter 'R' does the word 'strawberry' contain?,,False,USER,[]
